Well Name,Easting,Northing,MD,TVD,Azimuth,Inclination,Deviation-DownDip,Deviation-UpDip,Deviation-NoDip,Porosity%,Gross Thickness(ft),NTG,Sw(%),TOC %,Comp-Perforated Lateral (ft),Comp-Stimulated Lateral Length (ft),Comp-Clusters per Stage,Comp-Shot Density (shots-ft),Comp-Avg Stage Length(ft),Comp-Number of Stages,Stim-Avg. Tr. Pressure (psi),Stim-Avg. Tr. Rate (bbl-min),Stim-Fluid volume per Stage (bbl),Stim-clean volume per Stage (bbl),Stim-Slurry volume per Stage (bbl),Stim-Maximum propant Conc-(lb-gal),Stim-Proppant per stage(lb),30 Day Cum Gas (MCF),30 Day Cum Condensate (bbls),90 Day Cum Gas (MCF),90 Day Cum Condensate (bbls),120 Day Cum Gas (MCF),120 Day Cum Condensate (bbls),180 Day -Cum Gas (MCF),180 Day -Cum Condensate (bbls)
ISI-062,1689535.166,15930807.54,10633,6596.9,142.4,89.5,1,0,0,8.9,171,0.93,11.3,3,3503,3603,3.3,4,291.9,12,6750,65.4,23791,13479,10312,3,505764,155897,110,441389,258.71,554078,289.59,745721,400.23
ISI-063,1652884.937,15927155.89,9503,3835.9,326.8,89.6,0,0,1,9.8,129,0.94,9.8,3.3,2571,2671,1,4,257.1,10,6439,65.9,21320,11478,9842,4,408102,45590,1084,124160,2238.96,156674,2657.16,217022,3588.47
ISI-064,1664989.046,15955179.74,9275,4637.7,282.1,91,0,0,1,9.2,155,0.93,12.3,2.5,2144,2244,1,4,238.2,9,6646,59.4,19627,11034,8593,4,416413,85520,1310,138463,3971.36,157598,5064.19,198920,8062.73
ISI-065,1668023.138,15951909.96,10392,6493.1,113.7,90.1,0,0,1,9.3,150,0.88,12.7,2.6,2903,3003,3,4,263.9,11,6439,69.4,24446,13744,10702,3,512978,84876,1709,182360,4006.32,221241,4758.13,288689,6138.57
ISI-066,1667463.994,15951113.93,10998,6462.8,112.8,90.4,0,0,1,9.1,148,0.89,13.1,2.8,4103,4203,3,4,293.1,14,6321,69.5,26311,14378,11933,3,505293,71381,1699,183262,3934.2,232422,4739.05,316745,6110.82
ISI-067,1633976.014,15931072.89,10547,6277.4,316.2,90.7,0,0,1,9.2,129,0.82,10.2,2.8,2603,2703,3,4,289.2,9,6835,68.6,24733,13916,10818,3,498949,27010,4889,73096,10724.91,95754,12763.76,139146,16067.45
ISI-068,1641356.599,15925630.62,10505,6300.4,132.5,88.8,0,0,1,9.5,124,0.81,10.6,4,3803,3903,3.2,4,292.5,13,6066,67.9,24608,13835,10773,3,499014,58721,4684,153132,10604.88,199821,12739.09,286044,16042.77
ISI-069,1634570.212,15931621.96,9988,6278.2,313.5,89,0,0,1,9.1,130,0.84,10.7,2.6,3203,3303,3,4,291.2,11,6124,68.8,25121,14135,10986,3,502297,38914,4676,110269,10596.69,142460,12730.9,199810,16034.58
ISI-070,1681366.299,15940028.14,9963,6547.2,311.3,88.3,0,0,1,10.6,160,0.87,12.4,3.6,2303,2403,3,4,287.9,8,6223,68.7,24969,13986,10983,3,609708,146317,109,398735,644.54,498490,747.79,690662,1075
ISI-071,1658188.424,15924947.52,9158,6451.6,312.61,89.2,0,0,1,8.1,137,0.9,11.5,3,2160,2260,3.5,4,360,6,6282,56.4,27901,15887,12013,3,482950,84094,350,211659,596.52,264507,1113.8,355997,2072.51
ISI-072,1677179.14,15937896.78,11069,6466.8,303.6,92.5,0,0,1,8.9,156,0.9,9.8,3.8,3393,3493,3,4,282.8,12,6283,66.2,21882,12904,8978,3,505206,206170,6,457635,214.63,588844,292.98,807381,344.65
ISI-073,1626553.461,15911262.41,10245,6383.7,309.31,88.7,0,0,1,8.9,125,0.88,10.7,2.4,3203,3303,3,4,291.2,11,6359,67,24808,13944,10865,3,501809,43359,1047,136307,3796.64,184325,5138.98,269495,7634.06
ISI-074,1654262.716,15922119.2,8971,6353.2,113.8,90.5,0,0,1,9.4,133,0.94,10.2,3.1,2003,2103,3,4,286.1,7,7559,64.9,25812,14544,11268,3,491656,71840,1536,184015,2885.12,232974,3453.7,323716,4653.67
ISI-075,1647844.047,15939790.75,8992,6240.8,313.8,90.7,0,0,1,9.2,139,0.84,11.5,2.6,2352,2452,3.4,4,294,8,7750,53.7,16249,9343,6906,5,372928,12056,311,38434,1951.3,49889,2726.18,70774,3932.58
ISI-076,1690349.702,15932706.6,11188,6586.2,143,92.4,0,0,1,10.1,166,0.87,12.6,3.6,2903,3003,3,4,290.3,10,6126,70,24417,13860,10557,3,504510,109063,136,353552,287.04,493137,322.62,731567,432.55
ISI-077,1688435.517,15930285.01,10850,6555.4,141.8,90.1,0,0,1,8.9,171,0.93,11.3,3,3673,3773,3,4,282.5,13,6622,65.6,24340,13750,10589,3,487935,134404,136,356332,290.25,486599,324.04,732634,459.7
ISI-078,1630764.99,15901174.06,8572,6325.6,327.5,90.2,0,0,1,8.7,142,0.94,12.1,2.6,1722,1822,3,4,246,7,6237,98.9,24794,13906,10888,5,579713,112568,390,248691,2300.39,296476,4105.16,387208,7152.2
ISI-079,1662293.163,15936467.23,9830,6190.4,134.2,94.5,0,1,0,10.4,120.91,0.94,9.6,3.5,2914,3014,3,4,291.4,10,6836,67.7,26101,14658,11443,4,555772,60323,370,151858,1987.83,195590,2937.73,273239,4631.68
ISI-080,1667285.813,15920883.57,9700,6499,321.7,90.1,0,1,0,9.4,164,0.91,11,2.8,2603,2703,3,4,289.2,9,6225,70.1,24268,13648,10620,3,507226,90515,599,224471,1275.09,277124,1445.44,372945,1741.87
ISI-081,1666402.132,15920642.4,10100,6504.9,322.1,89.1,0,1,0,9.5,164,0.91,11,2.8,2903,3003,3,4,290.3,10,6456,67.4,23776,13354,10422,3,507956,89549,599,229006,1185.32,285094,1272.75,385815,1620.39
ISI-082,1665519.87,15920003.35,11080,6481.1,328.2,91.3,0,1,0,9.3,164,0.94,11.5,2.5,2903,3003,3,4,290.3,10,6754,69.3,24627,13849,10778,3,509191,90568,599,238114,1185.32,302010,1493.85,422917,2066.2
ISI-083,1679771.08,15878858.39,11261,7400.8,301.4,90.6,0,1,0,8.1,220,0.64,17.2,2.6,3430,3530,3.3,4,311.8,11,6595,67.5,24473,13764,10709,3,504995,35475,0,150311,0,208413,0,335960,0
ISI-084,1641871.628,15911825.08,9653,6423.8,318.5,90,0,1,0,9.7,131,0.95,9.3,3,2902,3002,3,4,290.2,10,6729,63.5,24323,13673,10651,3,500750,124020,1514,254874,3463.92,307397,4395.87,404152,6038.57
ISI-085,1643041.352,15912211.57,9749,6444,315.2,88.9,0,1,0,10.3,132,0.96,9.9,3.1,2378,2478,3,4,297.3,8,6865,59.4,22260,12533,9727,3,440067,161888,2545,344935,4297.86,421449,5217.18,558484,6756.01
ISI-086,1649945.768,15920754.73,9520,6553.1,308.3,88.9,0,1,0,9.6,136,0.92,10.3,2.8,2473,2573,3,4,309.1,8,6145,68.1,24068,13529,10539,3,506966,95571,883,257481,2876.42,324226,4724.99,439624,7087.16
ISI-087,1643232.041,15930390.68,8645,3850,140.4,90.7,0,1,0,9.4,131,0.84,10.8,2.7,2003,2103,2.8,4,117.8,17,6712,69.7,24281,13641,10640,3,496781,9627,281,28157,281.26,36488,585.18,53387,1260.3
ISI-088,1645413.542,15935070.22,10508,6283.9,329.3,90,0,1,0,9.1,127,0.87,9.1,3.1,3511,3611,3,4,292.6,12,6053,68.2,24400,13721,10680,3,499719,88294,4674,233383,9712.05,297342,11728.62,419509,15208.66
ISI-089,1661961.635,15955228.48,12408,6400.7,290.5,92,0,1,0,9.3,154,0.92,12.9,2.4,5012,5112,3,4,294.8,17,6712,69.7,24281,13641,10640,3,496781,140635,2556,305128,6327.77,368109,7216.53,490597,8729.82
